epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,5998.89,0.63499,0.46063,0.9941,0.91008,0.79575,0.8451,0.60265,1.00741,0.49558,1.18575,0.006832,0.006832,0.006832
98,6047.08,0.63918,0.46079,0.99287,0.9497,0.77345,0.84715,0.57484,1.07428,0.50506,1.24216,0.006799,0.006799,0.006799
99,6095.3,0.62632,0.45205,0.99204,0.93368,0.79149,0.85117,0.5848,1.06646,0.49342,1.24163,0.006766,0.006766,0.006766
100,6143.7,0.62147,0.45448,0.99301,0.94096,0.77921,0.84551,0.57476,1.07382,0.4992,1.22142,0.006733,0.006733,0.006733
101,6192.24,0.62391,0.45293,0.98802,0.92327,0.78208,0.84768,0.58667,1.05893,0.50207,1.20316,0.0067,0.0067,0.0067
102,6240.41,0.61842,0.44859,0.98971,0.92128,0.79375,0.85131,0.58786,1.06961,0.5051,1.23086,0.006667,0.006667,0.006667
103,6288.72,0.61992,0.44922,0.99314,0.92146,0.79445,0.84824,0.5963,1.0498,0.48644,1.20638,0.006634,0.006634,0.006634
104,6337.08,0.61801,0.44731,0.98458,0.96275,0.77805,0.8531,0.59255,1.02156,0.4744,1.18673,0.006601,0.006601,0.006601
105,6385.29,0.61185,0.44226,0.98564,0.94645,0.7939,0.85215,0.59063,1.0535,0.48899,1.21209,0.006568,0.006568,0.006568
106,6433.83,0.61256,0.44385,0.98363,0.92202,0.7994,0.85556,0.58161,1.08572,0.50075,1.23507,0.006535,0.006535,0.006535
107,6482.11,0.61297,0.44292,0.97893,0.92593,0.80137,0.85932,0.59241,1.04719,0.48431,1.20826,0.006502,0.006502,0.006502
108,6530.32,0.6091,0.43711,0.97669,0.95161,0.78568,0.8577,0.59928,1.02901,0.48221,1.19223,0.006469,0.006469,0.006469
109,6578.68,0.60593,0.43569,0.97432,0.94001,0.79086,0.8556,0.59381,1.04486,0.49485,1.19709,0.006436,0.006436,0.006436
110,6627.15,0.60406,0.433,0.97835,0.94662,0.79725,0.85923,0.60681,1.01724,0.49328,1.184,0.006403,0.006403,0.006403
111,6675.56,0.6036,0.43471,0.97853,0.93879,0.80699,0.86496,0.60112,1.03569,0.48987,1.20095,0.00637,0.00637,0.00637
112,6724.05,0.59982,0.43652,0.97631,0.92788,0.7925,0.84998,0.58985,1.05498,0.50188,1.22253,0.006337,0.006337,0.006337
113,6772.57,0.5988,0.4361,0.97504,0.94528,0.78312,0.85335,0.59878,1.02059,0.49346,1.18868,0.006304,0.006304,0.006304
114,6821.12,0.5915,0.42773,0.97324,0.94755,0.79014,0.85634,0.6003,1.02694,0.47552,1.17249,0.006271,0.006271,0.006271
115,6869.66,0.5974,0.42425,0.97146,0.94258,0.79118,0.85622,0.60021,1.01383,0.47749,1.17914,0.006238,0.006238,0.006238
116,6918.27,0.5908,0.42759,0.97206,0.95255,0.7904,0.85503,0.58118,1.07499,0.49666,1.23561,0.006205,0.006205,0.006205
117,6966.99,0.59214,0.42543,0.97251,0.95937,0.79151,0.85823,0.58405,1.06839,0.49343,1.23929,0.006172,0.006172,0.006172
118,7015.57,0.59273,0.42927,0.97567,0.9556,0.80462,0.86034,0.59316,1.06409,0.48539,1.21608,0.006139,0.006139,0.006139
119,7064.91,0.59208,0.42868,0.97325,0.9327,0.81482,0.86623,0.60474,1.01407,0.46078,1.19959,0.006106,0.006106,0.006106
120,7113.9,0.58427,0.41723,0.96536,0.93548,0.80708,0.8597,0.60931,1.00973,0.48373,1.14883,0.006073,0.006073,0.006073
121,7162.34,0.57789,0.41585,0.96609,0.96494,0.77797,0.85335,0.60333,1.0234,0.49048,1.18014,0.00604,0.00604,0.00604
122,7210.97,0.58178,0.41692,0.96673,0.92689,0.79987,0.85195,0.59182,1.05079,0.49717,1.20504,0.006007,0.006007,0.006007
123,7259.1,0.58901,0.42073,0.96974,0.95056,0.79407,0.8588,0.60655,1.00449,0.46644,1.18944,0.005974,0.005974,0.005974
124,7307.62,0.57857,0.41934,0.96709,0.9362,0.79494,0.85579,0.60796,1.00228,0.47941,1.18288,0.005941,0.005941,0.005941
125,7356.32,0.57976,0.41984,0.96641,0.94249,0.80576,0.86631,0.61266,0.9863,0.45843,1.16243,0.005908,0.005908,0.005908
126,7404.51,0.57273,0.4094,0.96361,0.96621,0.78384,0.86464,0.61299,1.0126,0.46352,1.17244,0.005875,0.005875,0.005875
127,7452.92,0.57249,0.40809,0.96073,0.95201,0.79653,0.86199,0.60458,1.02253,0.47005,1.20421,0.005842,0.005842,0.005842
128,7501.39,0.57131,0.40641,0.96032,0.93847,0.81573,0.87017,0.61446,1.00056,0.4513,1.16961,0.005809,0.005809,0.005809
129,7550.59,0.57399,0.41225,0.9596,0.94936,0.7979,0.86484,0.60842,1.0159,0.47403,1.17786,0.005776,0.005776,0.005776
130,7599.21,0.56911,0.4066,0.96259,0.93577,0.81062,0.87094,0.61306,1.00672,0.4491,1.19672,0.005743,0.005743,0.005743
131,7648.05,0.56524,0.40142,0.95872,0.93632,0.81037,0.86711,0.6161,1.00864,0.45454,1.18851,0.00571,0.00571,0.00571
132,7696.81,0.56663,0.39939,0.96054,0.93735,0.80682,0.86441,0.60952,1.00502,0.45353,1.19437,0.005677,0.005677,0.005677
133,7745.58,0.57267,0.40352,0.95935,0.95017,0.7979,0.86084,0.60726,1.01065,0.48796,1.18735,0.005644,0.005644,0.005644
134,7793.61,0.56122,0.3986,0.95626,0.93263,0.80584,0.85942,0.61793,0.95779,0.46672,1.16414,0.005611,0.005611,0.005611
135,7842.17,0.56008,0.40037,0.95651,0.95577,0.79991,0.8638,0.61058,0.99757,0.46536,1.18361,0.005578,0.005578,0.005578
136,7890.61,0.56041,0.39665,0.95248,0.96002,0.79204,0.85557,0.60871,1.00403,0.46383,1.18343,0.005545,0.005545,0.005545
137,7938.93,0.56377,0.40247,0.96194,0.94708,0.80813,0.86297,0.60659,1.03081,0.46723,1.20128,0.005512,0.005512,0.005512
138,7987.19,0.55611,0.39641,0.95427,0.94007,0.80716,0.86465,0.60558,1.04935,0.4875,1.21217,0.005479,0.005479,0.005479
139,8035.69,0.55379,0.39235,0.94959,0.95643,0.80198,0.87571,0.61649,1.02023,0.47042,1.19394,0.005446,0.005446,0.005446
140,8084.23,0.55679,0.39451,0.95585,0.95646,0.79678,0.86694,0.62098,0.99647,0.46348,1.1834,0.005413,0.005413,0.005413
141,8133.21,0.54776,0.39026,0.95254,0.95499,0.79938,0.86297,0.61202,1.0024,0.46572,1.20505,0.00538,0.00538,0.00538
142,8181.48,0.55062,0.39026,0.94964,0.94416,0.81876,0.8707,0.62072,0.99614,0.47073,1.18407,0.005347,0.005347,0.005347
143,8229.66,0.54611,0.3891,0.95162,0.9398,0.79558,0.85829,0.61871,0.98968,0.47603,1.18478,0.005314,0.005314,0.005314
144,8278.25,0.54288,0.38861,0.94803,0.949,0.79673,0.8658,0.62208,1.00487,0.47209,1.18238,0.005281,0.005281,0.005281
145,8327.53,0.54275,0.38563,0.94655,0.93092,0.80778,0.8682,0.62466,0.99212,0.4658,1.17017,0.005248,0.005248,0.005248
146,8377.36,0.5474,0.3855,0.94894,0.94931,0.80472,0.87296,0.61722,1.00071,0.45565,1.18988,0.005215,0.005215,0.005215
147,8426,0.54007,0.3816,0.9473,0.94323,0.8194,0.87456,0.62815,0.97115,0.46347,1.16196,0.005182,0.005182,0.005182
148,8474.65,0.53657,0.37511,0.9426,0.94922,0.80493,0.8692,0.61933,0.98206,0.46698,1.17221,0.005149,0.005149,0.005149
